(1,1,5)
(1,2,4)
(1,3,5)
(1,4,3)
(1,5,4)
(2,1,2)
(2,2,2)
(2,3,2)
(2,4,3)
(2,5,5)
(3,1,2)
(3,2,3)
(3,3,5)
(3,4,4)
(3,5,5)
(4,1,2)
(4,2,5)
(4,3,4)
(4,4,2)
(4,5,3)
(5,1,2)
(5,2,3)
(5,3,5)
(5,4,1)
(5,5,5)
(6,1,5)
(6,2,2)
(6,3,3)
(6,4,3)
(6,5,4)
(7,1,4)
(7,2,4)
(7,3,2)
(7,4,3)
(7,5,5)
(8,1,3)
(8,2,5)
(8,3,2)
(8,4,4)
(8,5,3)
(9,1,5)
(9,2,1)
(9,3,3)
(9,4,3)
(9,5,1)
(10,1,5)
(10,2,5)
(10,3,3)
(10,4,4)
(10,5,1)
(11,1,4)
(11,2,2)
(11,3,3)
(11,4,5)
(11,5,1)
(12,1,2)
(12,2,3)
(12,3,2)
(12,4,4)
(12,5,5)
(13,1,1)
(13,2,2)
(13,3,4)
(13,4,2)
(13,5,5)
(14,1,5)
(14,2,4)
(14,3,5)
(14,4,3)
(14,5,4)
(15,1,5)
(15,2,3)
(15,3,5)
(15,4,4)
(15,5,3)
(16,1,4)
(16,2,5)
(16,3,1)
(16,4,2)
(16,5,5)
(17,1,3)
(17,2,4)
(17,3,5)
(17,4,5)
(17,5,4)
(18,1,1)
(18,2,1)
(18,3,4)
(18,4,3)
(18,5,5)
(19,1,4)
(19,2,4)
(19,3,3)
(19,4,2)
(19,5,5)
(20,1,3)
(20,2,1)
(20,3,4)
(20,4,3)
(20,5,1)
(21,1,5)
(21,2,2)
(21,3,2)
(21,4,1)
(21,5,2)
(22,1,2)
(22,2,4)
(22,3,1)
(22,4,2)
(22,5,2)
(23,1,5)
(23,2,3)
(23,3,4)
(23,4,4)
(23,5,4)
(24,1,1)
(24,2,5)
(24,3,5)
(24,4,1)
(24,5,3)
(25,1,2)
(25,2,4)
(25,3,2)
(25,4,3)
(25,5,4)
(26,1,3)
(26,2,3)
(26,3,1)
(26,4,3)
(26,5,3)
(27,1,1)
(27,2,3)
(27,3,3)
(27,4,3)
(27,5,5)
(28,1,4)
(28,2,5)
(28,3,1)
(28,4,2)
(28,5,3)
(29,1,5)
(29,2,4)
(29,3,3)
(29,4,2)
(29,5,1)
(30,1,4)
(30,2,3)
(30,3,1)
(30,4,3)
(30,5,1)
(31,1,4)
(31,2,2)
(31,3,5)
(31,4,1)
(31,5,5)
(32,1,4)
(32,2,3)
(32,3,4)
(32,4,4)
(32,5,1)
(33,1,5)
(33,2,1)
(33,3,2)
(33,4,1)
(33,5,5)
