I/V Sweep,id_vds_P
RecordTime,04/26/2024 09:59:59
Device ID,
Count,1
Flag,
Remarks,
vd,vg,id,ig,is,iavdd,ignd
0,0,-0.043048,-3.62E-09,0.043042000000000004,3.9049000000000005E-06,-3.8368E-06
0.005,0,-0.042974000000000005,-3.6492E-09,0.042984,3.9074E-06,-3.8375E-06
0.01,0,-0.042922,-3.2426E-09,0.042940000000000006,3.9010000000000004E-06,-3.8378000000000008E-06
0.015000000000000001,0,-0.042862000000000004,-3.6463E-09,0.042894,3.9057000000000006E-06,-3.8401000000000007E-06
0.02,0,-0.042830000000000007,-3.4002E-09,0.042842000000000005,3.8999000000000006E-06,-3.8383E-06
0.025,0,-0.042786000000000005,-3.2569E-09,0.042806000000000004,3.8929000000000005E-06,-3.8331000000000006E-06
0.030000000000000002,0,-0.042702000000000004,-3.6531E-09,0.042752000000000005,3.8889E-06,-3.8321E-06
0.035,0,-0.042688000000000004,-3.2552E-09,0.042704000000000006,3.8892000000000008E-06,-3.8294E-06
0.04,0,-0.042638,-3.673E-09,0.042648000000000005,3.8843E-06,-3.8253000000000005E-06
0.045000000000000005,0,-0.042594000000000007,-3.2616E-09,0.042606000000000005,3.8858E-06,-3.8301E-06
0.05,0,-0.042544000000000005,-3.2605E-09,0.04256,3.8813000000000004E-06,-3.824E-06
0.055,0,-0.042496000000000006,-3.357E-09,0.042518,3.8815E-06,-3.8239000000000008E-06
0.060000000000000005,0,-0.042448000000000007,-3.2803E-09,0.042464,3.8784E-06,-3.8217E-06
0.065,0,-0.042400000000000007,-3.5728E-09,0.042418000000000004,3.8771000000000005E-06,-3.8218E-06
0.07,0,-0.042358000000000007,-3.2745E-09,0.042368,3.8710000000000007E-06,-3.8181000000000008E-06
0.075,0,-0.042308000000000005,-3.2363E-09,0.042324,3.8681E-06,-3.8180000000000005E-06
0.08,0,-0.042258000000000004,-3.236E-09,0.042276,3.8656000000000007E-06,-3.8156E-06
0.085,0,-0.042210000000000004,-3.5652E-09,0.042230000000000004,3.8583E-06,-3.8109000000000002E-06
