I/V Sweep,id_vgs_2
RecordTime,08/02/2023 08:54:30
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-2.7867E-09,-2.43826E-08,6.1401E-10,4.813E-07,-4.5482E-07
-0.29500000000000004,0,-2.9125E-09,-2.2117599999999998E-08,5.6655000000000008E-10,4.8158E-07,-4.5712E-07
-0.29000000000000004,0,-2.9826E-09,-2.0121599999999998E-08,5.1929000000000008E-10,4.8182E-07,-4.5926E-07
-0.28500000000000003,0,-3.0328E-09,-1.83054E-08,4.7944000000000005E-10,4.8224E-07,-4.6102E-07
-0.28,0,-3.0698E-09,-1.6666599999999998E-08,4.3780000000000003E-10,4.8228E-07,-4.63E-07
-0.275,0,-3.1358E-09,-1.51536E-08,3.921E-10,4.8246E-07,-4.6434E-07
-0.27,0,-3.1571E-09,-1.3800599999999999E-08,3.5358000000000003E-10,4.8228E-07,-4.6566E-07
-0.265,0,-3.2154E-09,-1.2554199999999999E-08,3.1228000000000003E-10,4.8244E-07,-4.6698E-07
-0.26,0,-3.2639E-09,-1.1451E-08,2.7481E-10,4.8264E-07,-4.6805999999999997E-07
-0.255,0,-3.2944E-09,-1.0414E-08,2.4428E-10,4.827E-07,-4.6931999999999997E-07
-0.25,0,-3.3336E-09,-9.5038E-09,2.0778E-10,4.8298E-07,-4.7022E-07
-0.24500000000000002,0,-3.3977E-09,-8.6573E-09,1.7001000000000002E-10,4.8322E-07,-4.7132E-07
-0.24000000000000002,0,-3.4245E-09,-7.8948E-09,1.3135000000000002E-10,4.8322E-07,-4.72E-07
-0.23500000000000001,0,-3.4556E-09,-7.1904E-09,1.0169000000000001E-10,4.8348E-07,-4.7272E-07
-0.23,0,-3.4941E-09,-6.5666E-09,6.5960000000000011E-11,4.835E-07,-4.7354E-07
-0.225,0,-3.5248E-09,-5.9847E-09,2.6670000000000003E-11,4.8358E-07,-4.7414E-07
-0.22,0,-3.556E-09,-5.4694E-09,4.73E-12,4.838E-07,-4.7491999999999997E-07
-0.215,0,-3.5867E-09,-4.993E-09,-2.3970000000000002E-11,4.8399999999999994E-07,-4.754E-07
-0.21000000000000002,0,-3.6335E-09,-4.5592E-09,-5.0390000000000006E-11,4.8394E-07,-4.7568E-07
-0.20500000000000002,0,-3.653E-09,-4.1618E-09,-7.812000000000001E-11,4.843E-07,-4.7636E-07
-0.2,0,-3.6886E-09,-3.8024E-09,-1.0572000000000001E-10,4.8434E-07,-4.7684E-07
-0.195,0,-3.7156E-09,-3.4732E-09,-1.2840000000000002E-10,4.8455999999999994E-07,-4.7702E-07
-0.19,0,-3.7434E-09,-3.1791E-09,-1.5353E-10,4.8458E-07,-4.7754E-07
-0.185,0,-3.7908E-09,-2.906E-09,-1.7306000000000002E-10,4.846E-07,-4.7783999999999994E-07
-0.18000000000000002,0,-3.7968E-09,-2.6595E-09,-2.0300000000000002E-10,4.8474E-07,-4.779E-07
-0.17500000000000002,0,-3.8254E-09,-2.4292E-09,-2.2619000000000002E-10,4.8462E-07,-4.7818E-07
-0.17,0,-3.8456E-09,-2.2287E-09,-2.4749000000000004E-10,4.8488E-07,-4.7848E-07
-0.165,0,-3.8648E-09,-2.0409E-09,-2.6651000000000004E-10,4.8514E-07,-4.7872E-07
-0.16,0,-3.8795E-09,-1.87E-09,-2.9302000000000004E-10,4.8511999999999994E-07,-4.7898E-07
-0.155,0,-3.9107E-09,-1.7123E-09,-3.1096000000000003E-10,4.8521999999999995E-07,-4.7908E-07
-0.15,0,-3.9164E-09,-1.5682E-09,-3.3132000000000005E-10,4.8508E-07,-4.7928E-07
-0.14500000000000002,0,-3.9381E-09,-1.4416E-09,-3.4779000000000005E-10,4.856E-07,-4.7974E-07
-0.14,0,-3.9623E-09,-1.3212E-09,-3.5858E-10,4.8534E-07,-4.7962E-07
-0.135,0,-3.9651E-09,-1.2124E-09,-3.7968000000000003E-10,4.8538E-07,-4.8004E-07
-0.13,0,-3.9945E-09,-1.1121E-09,-3.9644000000000003E-10,4.8567999999999994E-07,-4.8016E-07
-0.125,0,-4.0005E-09,-1.0208E-09,-4.1065E-10,4.8548E-07,-4.801E-07
-0.12000000000000001,0,-4.0304E-09,-9.3673000000000013E-10,-4.2683E-10,4.8566E-07,-4.8022E-07
-0.115,0,-4.0287E-09,-8.6210000000000005E-10,-4.487E-10,4.8595999999999994E-07,-4.8038E-07
-0.11,0,-4.0211E-09,-7.9123000000000007E-10,-4.5877000000000006E-10,4.8595999999999994E-07,-4.8063999999999994E-07
-0.10500000000000001,0,-4.0488E-09,-7.2793000000000009E-10,-4.6945000000000007E-10,4.858E-07,-4.806E-07
-0.1,0,-4.0472E-09,-6.6847000000000007E-10,-4.8054000000000008E-10,4.8595999999999994E-07,-4.8066E-07
-0.095,0,-4.0784E-09,-6.1484E-10,-4.9458000000000006E-10,4.859E-07,-4.8062E-07
-0.090000000000000011,0,-4.0641E-09,-5.6626000000000007E-10,-5.1118000000000009E-10,4.8592E-07,-4.8076E-07
-0.085,0,-4.0909E-09,-5.1892E-10,-5.1973E-10,4.8608E-07,-4.81E-07
-0.08,0,-4.0935E-09,-4.7878000000000008E-10,-5.2345000000000009E-10,4.8612E-07,-4.8094E-07
-0.075,0,-4.0992E-09,-4.3992E-10,-5.3689E-10,4.8616E-07,-4.8112E-07
-0.07,0,-4.1185E-09,-4.0247E-10,-5.5119E-10,4.862E-07,-4.813E-07
-0.065,0,-4.1164E-09,-3.7051000000000005E-10,-5.6962E-10,4.863E-07,-4.8136E-07
-0.060000000000000005,0,-4.1259E-09,-3.4021E-10,-5.8532E-10,4.8648E-07,-4.8122E-07
-0.055,0,-4.1183E-09,-3.1382E-10,-5.9874E-10,4.8644E-07,-4.8152E-07
-0.05,0,-4.1186E-09,-2.8602E-10,-6.0630000000000007E-10,4.8638E-07,-4.8142E-07
-0.045000000000000005,0,-4.1188E-09,-2.6355000000000004E-10,-6.3162E-10,4.8642E-07,-4.8164E-07
-0.04,0,-4.1256E-09,-2.4248E-10,-6.3938E-10,4.866E-07,-4.8172E-07
-0.035,0,-4.0961E-09,-2.2238E-10,-6.4682E-10,4.8664E-07,-4.815E-07
-0.030000000000000002,0,-4.0997E-09,-2.0298E-10,-6.82E-10,4.8656E-07,-4.8154E-07
-0.025,0,-4.1043E-09,-1.8402E-10,-6.9662E-10,4.8672E-07,-4.8175999999999994E-07
-0.02,0,-4.0752E-09,-1.6944E-10,-7.1903E-10,4.867E-07,-4.818E-07
-0.015000000000000001,0,-4.0649E-09,-1.5261E-10,-7.447E-10,4.8684E-07,-4.8184E-07
-0.01,0,-4.0419E-09,-1.39E-10,-7.736600000000001E-10,4.8666E-07,-4.8168E-07
-0.005,0,-4.0314E-09,-1.2486000000000002E-10,-7.997E-10,4.8692E-07,-4.8186E-07
0,0,-3.9995E-09,-1.1120000000000001E-10,-8.2581000000000007E-10,4.8704E-07,-4.8196E-07
0.005,0,-3.985E-09,-1.0008E-10,-8.7443E-10,4.8696E-07,-4.819E-07
0.01,0,-3.9524E-09,-8.663E-11,-9.1939000000000007E-10,4.8686E-07,-4.8186E-07
0.015000000000000001,0,-3.933E-09,-7.6710000000000012E-11,-9.7247E-10,4.8724E-07,-4.8224E-07
0.02,0,-3.8581E-09,-6.513E-11,-1.05165E-09,4.8714E-07,-4.822E-07
0.025,0,-3.8035E-09,-5.2780000000000004E-11,-1.11882E-09,4.8706E-07,-4.8218E-07
0.030000000000000002,0,-3.7211E-09,-4.41E-11,-1.1284E-09,4.872E-07,-4.8234E-07
0.035,0,-3.6201E-09,-3.533E-11,-1.2739E-09,4.8724E-07,-4.822E-07
0.04,0,-3.5184999999999998E-09,-2.3170000000000002E-11,-1.3525E-09,4.874E-07,-4.8231999999999994E-07
0.045000000000000005,0,-3.3492E-09,-1.506E-11,-1.4944E-09,4.8745999999999995E-07,-4.825E-07
0.05,0,-3.2306E-09,-6.8800000000000006E-12,-1.713E-09,4.8732E-07,-4.8236E-07
0.055,0,-3.102E-09,5.79E-12,-1.8943E-09,4.874E-07,-4.8256E-07
0.060000000000000005,0,-2.9058E-09,1.2850000000000001E-11,-2.0431E-09,4.8732E-07,-4.8242E-07
0.065,0,-2.7524E-09,2.655E-11,-2.2924E-09,4.8742E-07,-4.8248E-07
0.07,0,-2.4045E-09,3.5670000000000005E-11,-2.5335E-09,4.8756E-07,-4.825E-07
0.075,0,-2.0976E-09,4.523E-11,-2.8706E-09,4.8763999999999994E-07,-4.8246E-07
0.08,0,-1.7763E-09,5.5290000000000004E-11,-3.218E-09,4.8752E-07,-4.8266E-07
0.085,0,-1.2623E-09,6.484E-11,-3.5769E-09,4.8752E-07,-4.8252E-07
0.090000000000000011,0,-9.6240000000000011E-10,7.538E-11,-4.1632E-09,4.878E-07,-4.8276E-07
0.095,0,-2.1483000000000002E-10,8.607E-11,-4.8484E-09,4.8754E-07,-4.828E-07
0.1,0,4.7659E-10,9.713E-11,-5.4685E-09,4.8786E-07,-4.829E-07
0.10500000000000001,0,1.15006E-09,1.0836000000000001E-10,-6.1780999999999996E-09,4.879E-07,-4.829E-07
0.11,0,2.4297E-09,1.2032E-10,-6.5728E-09,4.8776E-07,-4.8302E-07
0.115,0,3.2143E-09,1.3369E-10,-8.3489E-09,4.8788E-07,-4.8296E-07
0.12000000000000001,0,4.4337E-09,1.4711000000000002E-10,-9.5603E-09,4.881E-07,-4.829E-07
0.125,0,5.8207E-09,1.5886E-10,-1.06972E-08,4.878E-07,-4.8302E-07
0.13,0,6.4868E-09,1.7236E-10,-1.24836E-08,4.878E-07,-4.8302E-07
0.135,0,9.5791E-09,1.8565000000000003E-10,-1.4869199999999998E-08,4.8794E-07,-4.831E-07
0.14,0,1.15008E-08,2.0235E-10,-1.84468E-08,4.8794E-07,-4.8315999999999994E-07
0.14500000000000002,0,1.58342E-08,2.2008000000000003E-10,-2.16122E-08,4.8806E-07,-4.8324E-07
0.15,0,2.0458999999999998E-08,2.3538E-10,-2.4723999999999997E-08,4.8824E-07,-4.8324E-07
0.155,0,2.3895999999999998E-08,2.5305E-10,-3.13478E-08,4.8819999999999994E-07,-4.8312E-07
0.16,0,2.99336E-08,2.6958E-10,-3.3445999999999994E-08,4.8828E-07,-4.834E-07
0.165,0,3.43594E-08,2.8814E-10,-4.0974999999999995E-08,4.8824E-07,-4.8332E-07
0.17,0,4.4315599999999996E-08,3.0792E-10,-4.5371599999999996E-08,4.8819999999999994E-07,-4.8342E-07
0.17500000000000002,0,4.9981199999999994E-08,3.2912000000000005E-10,-5.5787799999999992E-08,4.885E-07,-4.8354E-07
0.18000000000000002,0,5.86332E-08,3.5068E-10,-6.6864199999999993E-08,4.886E-07,-4.8368E-07
0.185,0,7.2214999999999989E-08,3.7556000000000005E-10,-7.4828599999999993E-08,4.8838E-07,-4.8352E-07
0.19,0,8.06294E-08,3.9896000000000004E-10,-8.9634399999999989E-08,4.8862E-07,-4.8343999999999994E-07
0.195,0,9.25868E-08,4.2520000000000004E-10,-1.0387859999999999E-07,4.8857999999999995E-07,-4.8346E-07
0.2,0,1.1161579999999999E-07,4.4960000000000003E-10,-1.1696059999999999E-07,4.8862E-07,-4.835E-07
0.20500000000000002,0,1.9338E-07,4.7919000000000008E-10,-1.3872E-07,4.8864E-07,-4.8346E-07
0.21000000000000002,0,1.5536E-07,5.0509000000000006E-10,-1.6908E-07,4.8862E-07,-4.8374E-07
0.215,0,1.6982E-07,5.3802000000000007E-10,-1.8512E-07,4.8847999999999994E-07,-4.837E-07
0.22,0,1.9624E-07,5.7002000000000006E-10,-2.0846E-07,4.8868E-07,-4.8368E-07
0.225,0,2.3236E-07,6.0507000000000006E-10,-2.2489999999999998E-07,4.887E-07,-4.8386E-07
0.23,0,2.4826E-07,6.4047000000000006E-10,-2.5576E-07,4.8866E-07,-4.837E-07
0.23500000000000001,0,2.8597999999999997E-07,6.8087E-10,-3.0012E-07,4.8866E-07,-4.8376E-07
0.24000000000000002,0,3.2144E-07,7.2260000000000007E-10,-3.1864E-07,4.889E-07,-4.8376E-07
0.24500000000000002,0,3.3786E-07,7.6255E-10,-3.467E-07,4.8854E-07,-4.8382E-07
0.25,0,3.7524E-07,8.0992E-10,-3.6994E-07,4.8882E-07,-4.8371999999999994E-07
0.255,0,3.939E-07,8.5793000000000006E-10,-3.9362E-07,4.889E-07,-4.8392E-07
0.26,0,4.0866E-07,9.0891000000000012E-10,-4.1094E-07,4.887E-07,-4.839E-07
0.265,0,4.1836E-07,9.6372E-10,-4.3201999999999997E-07,4.8875999999999994E-07,-4.8398E-07
