I/V Sweep,id_vgs_P
RecordTime,04/14/2025 15:52:22
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0,-3.1416E-05,2.6600000000000004E-12,3.1328E-05,4.1682E-07,-3.2542E-07
1.195,0,-3.1394E-05,3.4E-13,3.1196000000000004E-05,4.1668E-07,-3.2546E-07
1.19,0,-3.121E-05,1.1500000000000002E-12,3.1314E-05,4.1682E-07,-3.2536E-07
1.185,0,-3.1258E-05,1.59E-12,3.0856000000000004E-05,4.1664E-07,-3.254E-07
1.1800000000000002,0,-3.1238E-05,8.300000000000001E-13,3.1136E-05,4.1669999999999997E-07,-3.2538E-07
1.175,0,-3.1076E-05,2.2000000000000002E-13,3.1086E-05,4.1662E-07,-3.255E-07
1.1700000000000002,0,-3.12E-05,1.9E-12,3.1022E-05,4.1669999999999997E-07,-3.2542E-07
1.165,0,-3.1264000000000004E-05,4.3000000000000004E-13,3.1048E-05,4.1682E-07,-3.2542E-07
1.1600000000000001,0,-3.1368E-05,1.85E-12,3.1182E-05,4.1682E-07,-3.2544E-07
1.155,0,-3.121E-05,1.3800000000000002E-12,3.1086E-05,4.1679999999999997E-07,-3.2542E-07
1.1500000000000001,0,-3.1106E-05,-3.1000000000000004E-13,3.1314E-05,4.1679999999999997E-07,-3.2538E-07
1.145,0,-3.1298000000000004E-05,2.1700000000000002E-12,3.1464E-05,4.169E-07,-3.2542E-07
1.1400000000000001,0,-3.1534E-05,9.0000000000000008E-14,3.1408E-05,4.1682E-07,-3.2542E-07
1.135,0,-3.1498E-05,6.7000000000000007E-13,3.132E-05,4.1682E-07,-3.2542E-07
1.1300000000000001,0,-3.1454E-05,7.2000000000000006E-13,3.1084E-05,4.1696E-07,-3.2536E-07
1.125,0,-3.1438E-05,2.3000000000000003E-13,3.1438E-05,4.1688E-07,-3.2538E-07
1.12,0,-3.1582000000000004E-05,1.5000000000000002E-13,3.135E-05,4.1688E-07,-3.2542E-07
1.115,0,-3.1652E-05,6.7000000000000007E-13,3.1426E-05,4.1697999999999997E-07,-3.2548E-07
1.11,0,-3.145E-05,8.8000000000000009E-13,3.1458E-05,4.1682E-07,-3.2546E-07
1.105,0,-3.1254E-05,-1.9000000000000002E-13,3.1114E-05,4.1682E-07,-3.254E-07
1.1,0,-3.115E-05,1.7700000000000001E-12,3.1232E-05,4.1688E-07,-3.254E-07
1.095,0,-3.1106E-05,-1.32E-12,3.1136E-05,4.1693999999999997E-07,-3.2544E-07
1.09,0,-3.124E-05,1.6000000000000003E-13,3.1298000000000004E-05,4.1693999999999997E-07,-3.2544E-07
1.085,0,-3.1326E-05,1.8700000000000003E-12,3.1236000000000004E-05,4.1697999999999997E-07,-3.2542E-07
1.08,0,-3.1262E-05,-7.4000000000000008E-13,3.1002E-05,4.1692E-07,-3.2544E-07
1.075,0,-3.1664E-05,4.2000000000000003E-13,3.1146E-05,4.1693999999999997E-07,-3.2538E-07
1.07,0,-3.1598E-05,1.37E-12,3.1368E-05,4.1686E-07,-3.2546E-07
1.065,0,-3.1536000000000004E-05,-9.6000000000000015E-13,3.1458E-05,4.1682E-07,-3.2534E-07
1.06,0,-3.1542000000000004E-05,6.0000000000000009E-14,3.1466E-05,4.1692E-07,-3.2536E-07
1.0550000000000002,0,-3.1542000000000004E-05,1.4300000000000002E-12,3.1400000000000004E-05,4.1683999999999997E-07,-3.2536E-07
1.05,0,-3.15E-05,-2.21E-12,3.1338000000000004E-05,4.1686E-07,-3.2538E-07
1.0450000000000002,0,-3.1432E-05,1.78E-12,3.1226E-05,4.1686E-07,-3.2542E-07
1.04,0,-3.1028E-05,4E-13,3.1108E-05,4.1669999999999997E-07,-3.2532E-07
1.0350000000000001,0,-3.1358E-05,-5.9E-13,3.1372000000000004E-05,4.1679999999999997E-07,-3.2532E-07
1.03,0,-3.1296E-05,1.2400000000000002E-12,3.122E-05,4.1682E-07,-3.2532E-07
1.0250000000000001,0,-3.129E-05,-4.4000000000000004E-13,3.113E-05,4.1679999999999997E-07,-3.2528E-07
1.02,0,-3.1178E-05,-8.300000000000001E-13,3.1056E-05,4.1686E-07,-3.2534E-07
1.0150000000000001,0,-3.1346E-05,1.6E-12,3.1134000000000004E-05,4.1679999999999997E-07,-3.253E-07
1.01,0,-3.1224E-05,6.9000000000000009E-13,3.1052E-05,4.1679999999999997E-07,-3.2538E-07
1.0050000000000001,0,-3.1174000000000003E-05,-1.7500000000000002E-12,3.0962E-05,4.1679999999999997E-07,-3.2534E-07
1,0,-3.111E-05,1.8400000000000002E-12,3.1362E-05,4.1682E-07,-3.2542E-07
0.995,0,-3.151E-05,-5.3000000000000006E-13,3.0968E-05,4.1682E-07,-3.2526E-07
0.9900000000000001,0,-3.1278E-05,-2.0500000000000004E-12,3.1178E-05,4.1693999999999997E-07,-3.2536E-07
0.9850000000000001,0,-3.1238E-05,1.5400000000000001E-12,3.1232E-05,4.1688E-07,-3.2542E-07
0.98000000000000009,0,-3.141E-05,1.9000000000000002E-13,3.1108E-05,4.1676E-07,-3.2534E-07
0.97500000000000009,0,-3.135E-05,-2.7E-13,3.1206E-05,4.1692E-07,-3.2534E-07
0.97000000000000008,0,-3.1416E-05,2.31E-12,3.1182E-05,4.1674E-07,-3.2542E-07
0.96500000000000008,0,-3.1346E-05,-6.8E-13,3.1202000000000004E-05,4.1679999999999997E-07,-3.2536E-07
0.96000000000000008,0,-3.126E-05,-3.8000000000000005E-13,3.1052E-05,4.1674E-07,-3.2532E-07
0.95500000000000007,0,-3.1386E-05,1.27E-12,3.1448E-05,4.1674E-07,-3.2532E-07
0.95000000000000007,0,-3.1414E-05,-1.14E-12,3.118E-05,4.1669999999999997E-07,-3.2528E-07
0.94500000000000006,0,-3.1234E-05,-7E-13,3.1314E-05,4.1678E-07,-3.252E-07
0.94000000000000006,0,-3.1368E-05,2.6300000000000003E-12,3.1462E-05,4.1686E-07,-3.2536E-07
0.935,0,-3.145E-05,-2.49E-12,3.1270000000000004E-05,4.1692E-07,-3.2536E-07
0.93,0,-3.1366000000000004E-05,1.2000000000000001E-12,3.1346E-05,4.1692E-07,-3.2528E-07
0.925,0,-3.1538E-05,2.7E-13,3.1374E-05,4.1688E-07,-3.2532E-07
0.92,0,-3.1172E-05,-2.1500000000000003E-12,3.1134000000000004E-05,4.1697999999999997E-07,-3.2536E-07
0.915,0,-3.1428E-05,9.8E-13,3.1326E-05,4.169E-07,-3.2536E-07
0.91,0,-3.1444E-05,7.9000000000000007E-13,3.1188E-05,4.1686E-07,-3.2534E-07
0.905,0,-3.1416E-05,-8.1000000000000008E-13,3.1314E-05,4.1697999999999997E-07,-3.2538E-07
0.9,0,-3.1204E-05,7E-13,3.1122E-05,4.169E-07,-3.254E-07
