I/V Sweep,id_vgs_P_2
RecordTime,04/14/2025 15:40:56
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0.8,-1.0046E-09,1.1095E-09,2.5000000000000003E-12,3.2614E-07,-3.2616E-07
1.195,0.8,-1.0169E-09,1.0182E-09,3.6000000000000003E-13,3.2617999999999997E-07,-3.2616E-07
1.19,0.8,-1.0314E-09,9.3408000000000015E-10,-8.1000000000000008E-13,3.2626E-07,-3.2608E-07
1.185,0.8,-1.0237E-09,8.6247E-10,-1.5000000000000002E-13,3.2626E-07,-3.261E-07
1.1800000000000002,0.8,-1.0147E-09,7.9511000000000006E-10,1.1100000000000001E-12,3.2636E-07,-3.2612E-07
1.175,0.8,-1.0266E-09,7.3649E-10,9.4E-13,3.2642E-07,-3.2617999999999997E-07
1.1700000000000002,0.8,-1.0215E-09,6.7840000000000006E-10,1.2000000000000001E-12,3.2644E-07,-3.2612E-07
1.165,0.8,-1.0103E-09,6.3123E-10,1.9700000000000003E-12,3.2648E-07,-3.2612E-07
1.1600000000000001,0.8,-1.0073E-09,5.8555E-10,3.6000000000000003E-13,3.2654E-07,-3.2612E-07
1.155,0.8,-1.0022E-09,5.4409E-10,-6.0000000000000007E-13,3.2659999999999997E-07,-3.2608E-07
1.1500000000000001,0.8,-1.0159E-09,5.0351000000000005E-10,-2.4000000000000004E-13,3.2668E-07,-3.2614E-07
1.145,0.8,-1.0003E-09,4.7165E-10,-3.7000000000000004E-13,3.2666E-07,-3.2614E-07
1.1400000000000001,0.8,-9.934E-10,4.3888000000000004E-10,3.7000000000000004E-13,3.267E-07,-3.2616E-07
1.135,0.8,-1.002E-09,4.1112E-10,4.5000000000000005E-13,3.2678E-07,-3.2612E-07
1.1300000000000001,0.8,-9.973E-10,3.8324E-10,3.8000000000000005E-13,3.2672E-07,-3.2614E-07
1.125,0.8,-9.971E-10,3.6167E-10,1.1100000000000001E-12,3.2682E-07,-3.2614E-07
1.12,0.8,-9.8629000000000012E-10,3.3872000000000005E-10,1.3500000000000001E-12,3.2673999999999997E-07,-3.2606E-07
1.115,0.8,-9.9251000000000012E-10,3.171E-10,2.5E-13,3.2668E-07,-3.2603999999999997E-07
1.11,0.8,-9.9689E-10,2.9721E-10,5E-13,3.267E-07,-3.2603999999999997E-07
1.105,0.8,-9.8949E-10,2.8308E-10,4.8000000000000008E-13,3.2682E-07,-3.2603999999999997E-07
1.1,0.8,-9.8468000000000016E-10,2.6554E-10,-7.8000000000000011E-13,3.2678E-07,-3.2603999999999997E-07
1.095,0.8,-9.9173E-10,2.4932E-10,-1.2000000000000002E-13,3.2676E-07,-3.2598E-07
1.09,0.8,-9.8824E-10,2.3784000000000003E-10,1.5300000000000001E-12,3.268E-07,-3.26E-07
1.085,0.8,-9.8516000000000014E-10,2.2565000000000002E-10,-8.6000000000000007E-13,3.268E-07,-3.2608E-07
1.08,0.8,-9.9723E-10,2.1165000000000001E-10,7E-13,3.268E-07,-3.2603999999999997E-07
1.075,0.8,-9.8353E-10,2.0113E-10,-1.8000000000000002E-13,3.2682E-07,-3.2608E-07
